Save 211 - Episode 1237/1400, Score: -107.0 (0.01), AVG Score: -101.22
Save 212 - Episode 1238/1400, Score: -88.0 (0.01), AVG Score: -101.07
Save 213 - Episode 1239/1400, Score: -107.0 (0.01), AVG Score: -101.05
Save 214 - Episode 1240/1400, Score: -89.0 (0.01), AVG Score: -101.09
Save 215 - Episode 1241/1400, Score: -106.0 (0.01), AVG Score: -101.09
Save 216 - Episode 1242/1400, Score: -103.0 (0.01), AVG Score: -101.22
Save 217 - Episode 1243/1400, Score: -85.0 (0.01), AVG Score: -100.99
Save 218 - Episode 1244/1400, Score: -104.0 (0.01), AVG Score: -101.19
Save 219 - Episode 1245/1400, Score: -101.0 (0.01), AVG Score: -101.17
Save 220 - Episode 1246/1400, Score: -108.0 (0.01), AVG Score: -101.17
Save 221 - Episode 1247/1400, Score: -105.0 (0.01), AVG Score: -101.19
Save 222 - Episode 1248/1400, Score: -106.0 (0.01), AVG Score: -101.16
Save 223 - Episode 1249/1400, Score: -84.0 (0.01), AVG Score: -100.97
Save 224 - Episode 1250/1400, Score: -102.0 (0.01), AVG Score: -100.95
Save 225 - Episode 1251/1400, Score: -105.0 (0.01), AVG Score: -101.02
Save 226 - Episode 1252/1400, Score: -103.0 (0.01), AVG Score: -101.03
Save 227 - Episode 1253/1400, Score: -104.0 (0.01), AVG Score: -101.08
Save 228 - Episode 1254/1400, Score: -85.0 (0.01), AVG Score: -100.88
Save 229 - Episode 1255/1400, Score: -87.0 (0.01), AVG Score: -100.9
Save 230 - Episode 1256/1400, Score: -106.0 (0.01), AVG Score: -101.09
Save 231 - Episode 1257/1400, Score: -104.0 (0.01), AVG Score: -101.07
Save 232 - Episode 1258/1400, Score: -104.0 (0.01), AVG Score: -101.26
Save 233 - Episode 1259/1400, Score: -103.0 (0.01), AVG Score: -101.24
Save 234 - Episode 1260/1400, Score: -100.0 (0.01), AVG Score: -101.26
Save 235 - Episode 1261/1400, Score: -95.0 (0.01), AVG Score: -101.15
Save 236 - Episode 1262/1400, Score: -104.0 (0.01), AVG Score: -101.2
Save 237 - Episode 1263/1400, Score: -107.0 (0.01), AVG Score: -101.18
Save 238 - Episode 1264/1400, Score: -93.0 (0.01), AVG Score: -101.07
Save 239 - Episode 1266/1400, Score: -105.0 (0.01), AVG Score: -101.09
Save 240 - Episode 1267/1400, Score: -106.0 (0.01), AVG Score: -101.1
Save 241 - Episode 1268/1400, Score: -108.0 (0.01), AVG Score: -101.16
Save 242 - Episode 1269/1400, Score: -105.0 (0.01), AVG Score: -101.18
Save 243 - Episode 1270/1400, Score: -96.0 (0.01), AVG Score: -101.11
Save 244 - Episode 1271/1400, Score: -104.0 (0.01), AVG Score: -101.19
Save 245 - Episode 1272/1400, Score: -104.0 (0.01), AVG Score: -101.22
Save 246 - Episode 1273/1400, Score: -105.0 (0.01), AVG Score: -101.24
Save 247 - Episode 1274/1400, Score: -104.0 (0.01), AVG Score: -101.24
Save 248 - Episode 1275/1400, Score: -86.0 (0.01), AVG Score: -101.03
Save 249 - Episode 1276/1400, Score: -105.0 (0.01), AVG Score: -101.07
Save 250 - Episode 1277/1400, Score: -107.0 (0.01), AVG Score: -101.09
Save 251 - Episode 1278/1400, Score: -103.0 (0.01), AVG Score: -101.06
Save 252 - Episode 1279/1400, Score: -92.0 (0.01), AVG Score: -100.94
Save 253 - Episode 1280/1400, Score: -83.0 (0.01), AVG Score: -100.69
Save 254 - Episode 1281/1400, Score: -101.0 (0.01), AVG Score: -100.66
Save 255 - Episode 1282/1400, Score: -105.0 (0.01), AVG Score: -100.66
Save 256 - Episode 1283/1400, Score: -104.0 (0.01), AVG Score: -100.6
Save 257 - Episode 1284/1400, Score: -83.0 (0.01), AVG Score: -100.4
Save 258 - Episode 1285/1400, Score: -105.0 (0.01), AVG Score: -100.39
Save 259 - Episode 1286/1400, Score: -99.0 (0.01), AVG Score: -100.35
Save 260 - Episode 1287/1400, Score: -106.0 (0.01), AVG Score: -100.44
Save 261 - Episode 1288/1400, Score: -103.0 (0.01), AVG Score: -100.6
Save 262 - Episode 1289/1400, Score: -106.0 (0.01), AVG Score: -100.62
Save 263 - Episode 1290/1400, Score: -106.0 (0.01), AVG Score: -100.85
