Save 192 - Episode 1149/1250, Score: -87.0 (0.01), AVG Score: -104.12
Save 193 - Episode 1150/1250, Score: -90.0 (0.01), AVG Score: -103.89
Save 194 - Episode 1151/1250, Score: -105.0 (0.01), AVG Score: -103.89
Save 195 - Episode 1152/1250, Score: -90.0 (0.01), AVG Score: -103.73
Save 196 - Episode 1153/1250, Score: -85.0 (0.01), AVG Score: -103.73
Save 197 - Episode 1156/1250, Score: -101.0 (0.01), AVG Score: -104.23
Save 198 - Episode 1157/1250, Score: -103.0 (0.01), AVG Score: -104.18
Save 199 - Episode 1158/1250, Score: -91.0 (0.01), AVG Score: -104.01
Save 200 - Episode 1160/1250, Score: -100.0 (0.01), AVG Score: -104.09
Save 201 - Episode 1161/1250, Score: -86.0 (0.01), AVG Score: -103.9
Save 202 - Episode 1165/1250, Score: -108.0 (0.01), AVG Score: -104.06
Save 203 - Episode 1166/1250, Score: -106.0 (0.01), AVG Score: -104.01
Save 204 - Episode 1167/1250, Score: -100.0 (0.01), AVG Score: -103.94
Save 205 - Episode 1168/1250, Score: -88.0 (0.01), AVG Score: -103.76
Save 206 - Episode 1170/1250, Score: -88.0 (0.01), AVG Score: -103.69
Save 207 - Episode 1171/1250, Score: -88.0 (0.01), AVG Score: -103.51
Save 208 - Episode 1172/1250, Score: -95.0 (0.01), AVG Score: -103.44
Save 209 - Episode 1173/1250, Score: -105.0 (0.01), AVG Score: -103.48
Save 210 - Episode 1174/1250, Score: -91.0 (0.01), AVG Score: -103.35
Save 211 - Episode 1175/1250, Score: -88.0 (0.01), AVG Score: -103.37
Save 212 - Episode 1177/1250, Score: -90.0 (0.01), AVG Score: -103.39
Save 213 - Episode 1179/1250, Score: -104.0 (0.01), AVG Score: -103.32
Save 214 - Episode 1180/1250, Score: -103.0 (0.01), AVG Score: -103.28
Save 215 - Episode 1182/1250, Score: -106.0 (0.01), AVG Score: -103.36
Save 216 - Episode 1183/1250, Score: -106.0 (0.01), AVG Score: -103.37
Save 217 - Episode 1184/1250, Score: -104.0 (0.01), AVG Score: -103.55
Save 218 - Episode 1185/1250, Score: -104.0 (0.01), AVG Score: -103.52
Save 219 - Episode 1186/1250, Score: -88.0 (0.01), AVG Score: -103.3
Save 220 - Episode 1187/1250, Score: -86.0 (0.01), AVG Score: -103.1
Save 221 - Episode 1188/1250, Score: -97.0 (0.01), AVG Score: -103.22
Save 222 - Episode 1190/1250, Score: -108.0 (0.01), AVG Score: -103.73
Save 223 - Episode 1191/1250, Score: -104.0 (0.01), AVG Score: -103.74
Save 224 - Episode 1193/1250, Score: -103.0 (0.01), AVG Score: -103.7
Save 225 - Episode 1194/1250, Score: -108.0 (0.01), AVG Score: -103.92
Save 226 - Episode 1195/1250, Score: -86.0 (0.01), AVG Score: -103.75
Save 227 - Episode 1196/1250, Score: -107.0 (0.01), AVG Score: -103.61
Save 228 - Episode 1197/1250, Score: -104.0 (0.01), AVG Score: -103.46
Save 229 - Episode 1203/1250, Score: -88.0 (0.01), AVG Score: -104.07
Save 230 - Episode 1205/1250, Score: -90.0 (0.01), AVG Score: -103.94
Save 231 - Episode 1207/1250, Score: -102.0 (0.01), AVG Score: -103.84
Save 232 - Episode 1208/1250, Score: -104.0 (0.01), AVG Score: -103.74
Save 233 - Episode 1209/1250, Score: -108.0 (0.01), AVG Score: -103.78
Save 234 - Episode 1210/1250, Score: -104.0 (0.01), AVG Score: -103.67
Save 235 - Episode 1211/1250, Score: -105.0 (0.01), AVG Score: -103.65
Save 236 - Episode 1212/1250, Score: -103.0 (0.01), AVG Score: -103.57
Save 237 - Episode 1213/1250, Score: -101.0 (0.01), AVG Score: -103.55
Save 238 - Episode 1215/1250, Score: -108.0 (0.01), AVG Score: -103.52
Save 239 - Episode 1216/1250, Score: -103.0 (0.01), AVG Score: -103.46
Save 240 - Episode 1217/1250, Score: -102.0 (0.01), AVG Score: -103.45
Save 241 - Episode 1218/1250, Score: -98.0 (0.01), AVG Score: -103.29
Save 242 - Episode 1219/1250, Score: -86.0 (0.01), AVG Score: -103.04
Save 243 - Episode 1220/1250, Score: -104.0 (0.01), AVG Score: -103.25
Save 244 - Episode 1222/1250, Score: -84.0 (0.01), AVG Score: -103.21
Save 245 - Episode 1224/1250, Score: -84.0 (0.01), AVG Score: -102.94
Save 246 - Episode 1226/1250, Score: -89.0 (0.01), AVG Score: -102.85
Save 247 - Episode 1229/1250, Score: -103.0 (0.01), AVG Score: -103.04
Save 248 - Episode 1230/1250, Score: -108.0 (0.01), AVG Score: -103.23
Save 249 - Episode 1233/1250, Score: -103.0 (0.01), AVG Score: -103.22
Save 250 - Episode 1234/1250, Score: -87.0 (0.01), AVG Score: -103.01
Save 251 - Episode 1236/1250, Score: -106.0 (0.01), AVG Score: -103.0
Save 252 - Episode 1237/1250, Score: -103.0 (0.01), AVG Score: -102.94
Save 253 - Episode 1239/1250, Score: -107.0 (0.01), AVG Score: -102.95
Save 254 - Episode 1240/1250, Score: -89.0 (0.01), AVG Score: -102.93
Save 255 - Episode 1241/1250, Score: -93.0 (0.01), AVG Score: -102.8
Save 256 - Episode 1243/1250, Score: -83.0 (0.01), AVG Score: -102.62
Save 257 - Episode 1244/1250, Score: -104.0 (0.01), AVG Score: -102.72
Save 258 - Episode 1245/1250, Score: -88.0 (0.01), AVG Score: -102.4
Save 259 - Episode 1246/1250, Score: -87.0 (0.01), AVG Score: -102.4
Save 260 - Episode 1249/1250, Score: -84.0 (0.01), AVG Score: -102.8
